First Name,Last Name,Address,City,Postcode,BIC,IBAN
Olaf,Binder,Beuthener Str. 12,moers,47443,BYLADEM1SWU,DE83790500000988477923
Sören,Seifert,Frankfurter Allee 15c,Karlsruhe Innenstadt-Ost,76133,GENODEF1MAK,DE30781600690571160702
Volkmar,Krebs,Jaegerstr. 67c,wuppertal,42117,SOLADES1HSW,DE60680510040099687402
Axel,Engel,Helmholtzstr. 78b,wuppertal,42105,GENODEF1GU1,DE78760694680105810175
Roswitha,Bader,"Kol.Fruehauf,Ostweg 178b",berlin,13509,BYLADEM1WSB,DE32711526800751495797
Gertraud,Auer,Park Str 2b,Düsseldorf Oberbilk,40233,BYLADEM1DEG,DE95741500000612267740
Rico,Link,Fallersleber Str. 171c,braunschweig,38100,GENODEF1ALX,DE24701693100443108198
Gudrun,Zeller,PaulNevermannPlatz 97a,Münnerstadt,97702,BYLADEM1HOF,DE10780500000062565023
Isabella,Weiss,"Kol.Fruehauf,Ostweg 150b",berlin,13509,GENODEF1M05,DE87750903000739361464
Katharina,Fleischmann,Kleestr. 103c,wuppertal,42289,SOLADES1SFH,DE31683515570080324809
Meinolf,Lechner,Billwerder Neuer Deich 129a,Glashütten,95496,MALADE51KAD,DE41548514400648850915
Alwine,Petersen,Nonnengasse 8,erfurt,99084,GENODEF1ETB,DE05770697460554034708
Giovanni,Moll,Flensburger Zeile 103c,krefeld,47829,GENODEF1NUI,DE64740615640665927617
Rene,Metz,Lietzenburger Strasse 35c,Bergisch Gladbach Frankenfort,51427,SOLADES1SUW,DE24548500100715602389
Jens-Uwe,Kaufmann,Dreierbergweg 180,ulm,89081,OBKLDEMXXXX,DE59701207000145537619
Günther,Anders,Brenzstr. 85a,ulm,89073,SKLODE66XXX,DE81683500480243345337
Hans-Christian,Seidl,Am Feldrain 21a,cottbus,3054,GENODEF1HEM,DE47750690610205056985
Annegret,Breuer,Borgentreicher Weg 62b,paderborn,33100,GENODEF1OHC,DE21701664860654944860
Bernhard,Geißler,Quermatenweg 4,berlin,14163,NOLADE21BEB,DE89265515400018218982
Knut,Nagel,Auf der Ell 180,aachen,52078,GENODEF1GU1,DE69760694680591672570
Igor,Wirth,Josef-Schroeder-Str. 114b,paderborn,33098,GENODEF1BGL,DE80710900000803390233
Mechthild,Heinz,Ziegelstr 145a,Bad Füssing,94067,GENODEF1WU1,DE53790900000603784690
Raimund,Gabriel,Fischhausenweg 187c,braunschweig,38124,BYLADEM1ANS,DE50765500000247027550
Hildegard,Neubauer,Dringenberger Weg 17a,paderborn,33100,BYLADEM1KUB,DE29771500000269889879
Hans-Günter,Sander,Bentfelder Str. 155c,paderborn,33106,NOLADE21GFW,DE82269513110423262476
Sonja,Lindemann,Bermesgasse 135c,remscheid,42897,GENODEF1R01,DE84750900000765075980
Denis,Hanke,Gerdastr. 89a,wuppertal,42287,BYLADEM1SKB,DE45770500000880160577
Lore,Krauß,Grenadierweg 122b,paderborn,33104,MALADE51NWD,DE87574501200537198988
Lukas,Wolf,Bayreuther Strasse 81a,Reutlingen Katzensteg,72762,MALADE51ROK,DE40540519900208305342
Ludger,Philipp,Hardenbergstrae 148,Schindhard,66996,SOLADES1SAL,DE77690517250079490546
Ulrich,Kolb,Invalidenstrasse 193a,Waldfischbach-Burgalben,67714,GENODEF1NOE,DE11720693290629394079
Ullrich,Barthel,Eberhard-Finckh-Str. 119c,ulm,89075,GENODEF1KFB,DE03734600460809763090
Margitta,Graf,Fasanenweg 48,remscheid,42857,WELADED1OPE,DE80462500490019042654
Yvonne,Richter,Rudower Strasse 190b,Matzerath,54597,GENODEF1RBL,DE26721698310625436010
Viktor,Meyer,Brunnenhof 56,bochum,44866,MALADE51DAU,DE93586512400504574740
Kornelia,Fröhlich,Ottenhauser Weg 137a,paderborn,33100,MALADE51KLK,DE96540502200259656825
Michael,Gabriel,Hufelandweg 67c,jena,7743,GENODEF1GAH,DE34721698120921114913
Mike,Stumpf,James-Fitzmaurice-Weg 69a,ulm,89075,BYLADEM1HOF,DE25780500000894878685
Mandy,Rohde,Schwarzburger Str. 9a,erfurt,99092,BYLADEM1AUG,DE42720501010724733571
Bernd,Kunz,Herman-Hollerith-Str. 180,erfurt,99099,GENODEF1ALK,DE12770610040607341326
Christof,Schweizer,Neuer Kamp 191c,bochum,44867,GENODEF1MTG,DE35720621520269918000
Gero,Feldmann,Bayreuther Strasse 163c,Reutlingen Reicheneck,72766,BYLADEM1DEG,DE85741500000409117231
Falko,Hennig,Proviantbachstr. 175c,augsburg,86153,GENODEF1SZH,DE15752617000576176895
Karolina,Engel,Bismarckstr. 81a,moers,47443,OBKLDEMXXXX,DE37701207000288062540
Alois,Moser,Osterbeek 5a,braunschweig,38122,GENODEF1M03,DE60701694660726915213
Margareta,Niemann,Brockenweg 84,berlin,13129,GENODEF1KC2,DE72770690440739473700
Diethelm,Adam,Neuenhofer Weg 98b,aachen,52074,GENODEF1MLV,DE59790691650370192082
Mario,Adam,Kraemerstr. 57a,paderborn,33098,NOLADE21CEL,DE49257500010525496154
Andree,Behrendt,Fallersleber Str. 196,braunschweig,38100,BYLADEM1RBG,DE06750500000640661807
Johannes,Horn,Ollenhauer Str 179c,Stuttgart Lederberg,70619,BYLADEM1COB,DE86783500000588556787
